,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,STI_Price,SPY_Price,SHG_Price,US Interest Rates,China Interest Rates ,Production Index United States,Production Index China,Date,CNY,USD,STI_Price_returns,SPY_Price_returns,SHG_Price_returns,US Interest Rates_returns,China Interest Rates _returns,Production Index United States_returns,Production Index China_returns,CNY_returns,USD_returns,Crisis_Bool,Crisis
75,75,75,75,3436.936667,2690.563333,3008.373333,2.333333333333333,2.9,2.81925817,4.066666667,2018-06-30,1.3419333333333334,1.7907,-0.0161346958463344,-0.0130610589214905,-0.0892125857451592,0.1200000000000001,0.0,-0.0827703025530024,0.0990990991891891,0.0199645300228021,0.015155237249381,False,0
76,76,76,76,3263.46,2877.263333,2807.666667,2.583333333333333,2.9,4.008868172,4.1,2018-09-30,1.3663666666666667,1.8378333333333328,-0.0504742111385551,0.0693906728416713,-0.0667160102100267,0.1071428571428572,0.0,0.4219585189674204,0.0081967212288363,0.018207561230066,0.0263211779378638,False,0
77,77,77,77,3068.39,2659.586667,2561.623333,2.833333333333333,2.9,2.706762081,2.3,2018-12-31,1.3733333333333333,1.8338333333333328,-0.0597739822151949,-0.0756540645770638,-0.0876326726715382,0.096774193548387,0.0,-0.324806412965779,-0.4390243902439024,0.0050986801980921,-0.002176475922735,False,0
78,78,78,78,3205.246667,2774.33,2872.093333,3.0,2.9,1.189570195,0.2,2019-03-31,1.3508666666666669,1.7698666666666665,0.0446021095753799,0.0431432953186781,0.1212004887683459,0.0588235294117647,0.0,-0.5605191149417466,-0.9130434782608696,-0.0163592233009707,-0.0348813959829135,False,0
79,79,79,79,3279.856667,2879.883333,2985.306667,3.0,2.9,-0.57234145,0.5,2019-06-30,1.3618,1.818,0.0232774596626701,0.0380464231003523,0.0394184035383504,0.0,0.0,-1.4811329776129774,1.5,0.0080935695602819,0.0271960222992317,False,0
80,80,80,80,3175.753333,2961.193333,2907.98,2.75,2.9,-1.348505683,-0.766666667,2019-09-30,1.3807666666666665,1.7645666666666668,-0.031740208359538,0.0282337826217766,-0.0259024199606625,-0.0833333333333333,0.0,1.3561209536719732,-2.533333334,0.0139276447838643,-0.0293912724605793,False,0
81,81,81,81,3215.543333,3136.44,2950.386667,2.25,2.9,-2.019952952,-1.166666667,2019-12-31,1.3572666666666666,1.7469333333333334,0.0125293106320736,0.059181096028761,0.0145828606111459,-0.1818181818181817,0.0,0.4979194952343408,0.5217391302079397,-0.0170195302126836,-0.009993010559722,False,0
82,82,82,82,2882.013333,2921.443333,2869.043333,1.5833333333333333,2.9,-2.704591363,-0.666666667,2020-03-31,1.393066666666667,1.7310666666666668,-0.1037243058045892,-0.068547992947418,-0.0275703977752554,-0.2962962962962963,0.0,0.3389378006661612,-0.4285714284489796,0.0263765410874798,-0.0090825828117844,True,1
83,83,83,83,2574.963333,3019.01,2899.033333,0.25,2.9,-14.66035726,-3.266666667,2020-06-30,1.4051,1.7226,-0.1065401039211638,0.0333967343805399,0.0104529616736881,-0.8421052631578947,0.0,4.420544286490054,3.89999999805,0.008638016845329,-0.0048910113224988,True,1
84,84,84,84,2509.65,3378.143333,3307.913333,0.25,2.9,-6.697827536,-2.166666667,2020-09-30,1.3665333333333336,1.7124,-0.0253647623494139,0.1189573181274654,0.1410401168367663,0.0,0.0,-0.5431334027394636,-0.3367346938431903,-0.0274476312480723,-0.0059212817833507,False,0
85,85,85,85,2691.2,3549.22,3363.12,0.25,2.9,-4.702691811,-1.333333333,2020-12-31,1.3427666666666669,1.6696666666666669,0.0723407646484568,0.0506422167848257,0.0166892724937059,0.0,0.0,-0.2978780379572914,-0.3846153848639053,-0.0173919406771392,-0.0249552285291596,False,0
86,86,86,86,3005.633333,3832.76,3478.02,0.25,2.9,-2.745648348,2.133333333,2021-03-31,1.3349666666666666,1.6882666666666666,0.1168375940101071,0.0798879753861412,0.0341647042032398,0.0,0.0,-0.4161538841270243,-2.60000000015,-0.0058089020182212,0.0111399480934315,False,0
